Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
33.0,36.0,Corvus monedula,Eurasian Jackdaw,0.4852,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
36.0,39.0,Corvus monedula,Eurasian Jackdaw,0.4789,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
39.0,42.0,Corvus monedula,Eurasian Jackdaw,0.7990,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
42.0,45.0,Corvus monedula,Eurasian Jackdaw,0.4438,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
45.0,48.0,Corvus monedula,Eurasian Jackdaw,0.2577,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
54.0,57.0,Corvus monedula,Eurasian Jackdaw,0.4156,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
54.0,57.0,Regulus regulus,Goldcrest,0.2891,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
57.0,60.0,Corvus corone,Carrion Crow,0.2874,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082000.wav,51.407777,-0.646617
12.0,15.0,Erithacus rubecula,European Robin,0.3186,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
27.0,30.0,Erithacus rubecula,European Robin,0.4213,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
36.0,39.0,Corvus monedula,Eurasian Jackdaw,0.6002,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
39.0,42.0,Corvus monedula,Eurasian Jackdaw,0.8822,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
